human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
"Here is a summary of the conversation:

The conversation started with both individuals expressing their shared enthusiasm for live music. However, it quickly took an unexpected turn as Person A mentioned having two kids and Person B suddenly talked about loving flowers, seemingly unrelated to the initial topic of concerts. Overall, the conversation lacked a clear connection or progression, leaving no overarching theme or takeaway.",The person wants to know what people are doing.,#PersonA# and #PersonB# are going to concerts. They both like live music and flowers.,#PersonA# and #PersonB# are going to concerts. #PersonA# loves live music and flowers.
"The conversation between two individuals, Person A and Person B, touched on various topics. Initially, Person A expressed their enthusiasm for lasagna, mentioning that they make their own noodles and sauce from scratch. Person B was impressed, noting that lasagna originated in Italy during the Middle Ages. The discussion then shifted to more personal matters, with Person A sharing news about buying a new house with their partner. Finally, Person B revealed their preference for making their own coffee.",#PersonB: I'm not sure. I'm not sure. #PersonA: I'm not.,#PersonA# loves lasagna and #PersonB# likes to make coffee. #PersonA# and #PersonB# talk about their favorite dishes.,#PersonA# loves lasagne and #PersonB# likes making their own coffee.
"Here's a summary of the conversation:

The conversation starts with Person A expressing frustration about their neighbor's dog barking incessantly at them. However, the topic quickly shifts when Person B asks follow-up questions about the dog's size, and Person A instead shares unrelated personal information about their parents' divorce. Meanwhile, Person B reveals they are a widow, indicating that the conversation took an unexpected turn away from its original focus on the dog.",#PersonA: I'm a widow.,#PersonA#'s neighbor dog barks at #PersonA#. #PersonA#'s parents were divorced and #PersonA#'s neighbor dog is a big dog.,#PersonA#'s neighbor dog barks at #PersonA# because #PersonA#'s parents were divorced. #PersonA#'s neighbor dog is a big dog.
"Here is a summary of the conversation:

Person A shared their experience taking the train to work, feeling claustrophobic due to the crowd. Person B expressed empathy and asked if this was a regular commute for Person A. The conversation then took an unexpected turn with Person A sharing some personal characteristics (blue eyes and curly brown hair) and Person B revealing their snacking habits between meals.",PersonB is feeling claustrophobic.,#PersonA# and #PersonB# are talking about the crowded train to work. #PersonA# has blue eyes and curly brown hair and #PersonB# loves to snack between meals.,#PersonA# and #PersonB# are talking about the train to work. #PersonA# has blue eyes and curly brown hair and loves to snack between meals.
"Here is a summary of the conversation:

Person A is feeling under the weather with a cold and has tried vitamin C without seeing any improvement. Person B expresses sympathy for their cold and asks if they are taking plenty of fluids to help alleviate symptoms. The conversation then takes an unexpected turn as Person A mentions that they always answer their cellphone, which seems unrelated to their cold. Finally, Person B reveals their profession in sales, but the purpose or relevance of this information is not specified.",#PersonA: I'm a sales rep.,#PersonA# is nursing a cold and vitamin C does nothing. #PersonB# works in sales.,#PersonA# is nursing a cold and vitamin C does nothing. #PersonB# works in sales.
"Here is a summary of the conversation:

Person A expressed disappointment and frustration about not getting a job due to an unreliable coworker being favored. They feel they would have been a better fit for the position. Person B empathized with their sentiments, acknowledging that Person A's reliability would have been an asset in the role. The conversation then shifted gears as both individuals shared their personal interests - Person A enjoys eating out with family, while Person B prefers going to the movies.",Person A is not as reliable as Person B.,#PersonA# and #PersonB# are talking about their boss. They both like to go out to eat and watch movies.,#PersonA# thinks #PersonA#'s boss is not reliable and #PersonB# likes to go out to eat with family.
"Here is a summary of the conversation:

Person A expressed frustration that their boss earns more than them for less work. Person B sympathized and suggested asking for a pay raise, but the focus then shifted to each person's passion outside of work: Person A's love for teaching, and Person B's affection for their two dogs.",#PersonA: I'm a teacher and I love my job.,#PersonA# complains to #PersonB# about #PersonA#'s boss's salary. #PersonB# thinks #PersonA# should ask for a pay raise.,#PersonA#'s boss earns more money than #PersonA# for less work. #PersonB# thinks #PersonA# should ask for a pay raise.
"Here is a summary of the conversation:

The conversation started with Person A sharing their excitement and joy when they received their first vehicle from their dad. Person B related to this feeling, noting that while they also felt happy, it was after buying their own vehicle. The discussion then took a different turn as Person A mentioned receiving frequent calls from a woman. In response, Person B shared their own experience of being offered to play professional basketball.",#PersonA: I got my first car.,#PersonA# tells #PersonB# #PersonA# got very joyful when #PersonA#'s dad got #PersonA#'s first vehicle. #PersonB# has a woman calling #PersonA# all the time and #PersonA# was offered to play basketball professionally.,#PersonA# tells #PersonB# #PersonB#'s dad got #PersonA#'s first car and #PersonB# has a woman calling her all the time.
"Here is a summary of the conversation:

The conversation started with two individuals discussing their shared interest in dance, with one person mentioning that their daughter enjoys tap dancing. Person B expressed some curiosity about tap dancing, finding it ""odd"" despite its prevalence on Broadway. The conversation then took a sudden turn when Person A shared their passion for dancing, followed by Person B revealing that they are not good at math.","#PornB#: I enjoy dancing, but I'm not a math fan.",#PersonA# and #PersonB# talk about their favorite styles of dancing. #PersonA# likes tap dancing while #PersonB# is terrible at math.,#PersonA# and #PersonB# enjoy dancing and their daughter does tap dancing. #PersonA# thinks dancing is #PersonA#'s passion.
"Summary:

The conversation between two individuals, Person A and Person B, touched on their experiences and interests. Person A expressed longing to be somewhere else (""i wish i was there""). Person B shared a fond memory of seeing many animals, reminiscent of their time working for a circus. Person A revealed their occupation as a reality TV star, while Person B disclosed their taste in music, enjoying country tunes.",The reality tv star is a reality tv show star.,#PersonA# and #PersonB# are talking about the animals they saw in the circus.,#PersonA# and #PersonB# are talking about the animals they saw in the circus. #PersonB# is a reality tv star and listens to country music.
